iter	RMSE
0	692068.4808
1	656439.5338
2	623796.8926
3	596731.5764
4	572695.1646
5	548012.5135
6	528622.4546
7	508485.8892
8	490720.6823
9	475418.4604
10	461815.0015
11	448955.816
12	437682.5037
13	427051.4326
14	416897.4984
15	407899.735
16	399320.8746
17	391896.9096
18	385308.6647
19	379036.6812
20	372948.4212
21	366892.9359
22	361925.1391
23	357216.1106
24	352792.566
25	348858.6097
26	346699.5988
27	343572.3605
28	339643.7937
29	337380.2288
30	333840.9038
31	331864.4114
32	329388.5816
33	327782.2143
34	325733.8648
35	322824.1163
36	322042.9099
37	321191.3329
38	319739.1729
39	317610.3169
40	315609.5899
41	314937.3292
42	313161.6719
43	311051.1563
44	310247.0033
45	308409.7261
46	307708.8599
47	305914.9824
48	305482.5356
49	304237.9303
50	301652.0131
51	301002.458
52	299054.7522
53	298455.1216
54	298112.0844
55	297596.2666
56	296213.4725
57	295288.0627
58	293057.9448
59	292065.3286
60	290546.0445
61	288896.2203
62	287829.4385
63	286449.3028
64	284183.8985
65	283467.4941
66	283027.7834
67	281697.1768
68	281303.4805
69	280853.1366
70	280646.2292
71	279679.981
72	278527.563
73	277800.538
74	276559.1882
75	275197.2139
76	274988.0355
77	274240.652
78	273713.9301
79	273295.491
80	271873.6284
81	271311.5692
82	270827.8096
83	269175.6053
84	267774.2671
85	266487.5787
86	264691.6088
87	264104.3094
88	263566.6476
89	263017.2148
90	262173.6777
91	260282.2665
92	260163.846
93	259107.1044
94	258873.9798
95	258612.3586
96	257798.7431
97	257626.355
98	256342.8882
99	256132.282
100	256046.9326
101	254643.8004
102	253043.0096
103	252771.5129
104	252015.9065
105	251770.7555
106	251686.5323
107	250310.5968
108	249826.6181
109	248897.5816
110	248311.8636
111	246973.6584
112	246432.993
113	245771.4671
114	245133.2434
115	244891.4222
116	244780.4343
117	243364.5488
118	243297.7262
119	243164.815
120	243099.2994
121	242959.9994
122	242900.6138
123	242156.1785
124	240919.012
125	239743.0502
126	239692.9949
127	238829.6098
128	237707.5278
129	237660.5155
130	236571.8904
131	236346.0294
132	236304.8024
133	235545.3429
134	234442.7313
135	233703.1115
136	233664.5786
137	233119.392
138	233006.6549
139	231833.5664
140	231123.7922
141	231042.6202
142	230979.2368
143	230306.0118
144	230081.621
145	229023.3765
146	228993.2647
147	228198.7247
148	227797.8169
149	227726.007
150	227056.8191
151	227035.3727
152	227015.0895
153	226354.9426
154	226329.4278
155	225477.5915
156	224462.0144
157	224349.6781
158	224331.8052
159	223627.2651
160	222964.863
161	222154.9802
162	221698.7976
163	220770.8041
164	220675.2532
165	220207.992
166	219672.3302
167	219005.6839
168	218893.8624
169	217984.2734
170	216997.2177
171	216927.7271
172	216860.6166
173	216298.1789
174	216188.8366
175	215463.7356
176	214775.159
177	214736.0214
178	214192.9881
179	214160.0919
180	213922.4397
181	213906.8775
182	212696.7516
183	212135.9868
184	211600.1199
185	210526.0216
186	210512.3956
187	210099.0333
188	209127.8867
189	208204.0719
190	208179.2041
191	207796.6627
192	207772.963
193	206952.6653
194	206931.9398
195	206543.2487
196	205534.2117
197	205024.8859
198	204243.3143
199	204224.1613
