iter	Passed	Remaining
0	12	2543
1	23	2338
2	34	2286
3	45	2251
4	56	2222
5	68	2230
6	80	2229
7	91	2197
8	102	2183
9	114	2179
10	124	2143
11	135	2126
12	146	2113
13	156	2083
14	168	2077
15	179	2066
16	189	2042
17	200	2029
18	212	2019
19	222	1998
20	233	1987
21	244	1975
22	254	1959
23	266	1953
24	277	1944
25	288	1931
26	300	1926
27	312	1919
28	323	1905
29	333	1892
30	344	1879
31	354	1862
32	366	1854
33	379	1854
34	393	1856
35	417	1900
36	432	1905
37	439	1875
38	453	1870
39	465	1863
40	477	1851
41	489	1839
42	499	1825
43	512	1815
44	522	1798
45	532	1782
46	544	1771
47	554	1756
48	566	1744
49	577	1732
50	587	1717
51	598	1703
52	610	1692
53	620	1678
54	631	1665
55	643	1653
56	653	1638
57	664	1626
58	675	1614
59	685	1598
60	696	1587
61	708	1576
62	718	1562
63	729	1550
64	741	1540
65	752	1527
66	763	1515
67	775	1506
68	787	1494
69	798	1482
70	811	1473
71	822	1461
72	832	1449
73	847	1442
74	859	1432
75	871	1421
76	882	1409
77	894	1398
78	900	1379
79	912	1368
80	923	1357
81	934	1344
82	945	1332
83	956	1321
84	967	1308
85	977	1296
86	988	1284
87	998	1271
88	1010	1259
89	1021	1248
90	1031	1235
91	1042	1223
92	1053	1212
93	1063	1199
94	1074	1187
95	1086	1176
96	1096	1164
97	1107	1152
98	1118	1140
99	1128	1128
100	1135	1112
101	1145	1100
102	1156	1088
103	1166	1076
104	1176	1064
105	1187	1052
106	1197	1040
107	1207	1029
108	1219	1017
109	1229	1005
110	1240	994
111	1251	983
112	1262	971
113	1273	960
114	1284	949
115	1294	937
116	1305	926
117	1316	914
118	1326	902
119	1337	891
120	1347	880
121	1357	867
122	1368	856
123	1379	845
124	1389	833
125	1400	822
126	1411	811
127	1421	799
128	1432	788
129	1442	776
130	1453	765
131	1464	754
132	1474	742
133	1484	731
134	1495	719
135	1506	708
136	1517	697
137	1528	686
138	1538	675
139	1549	664
140	1559	652
141	1570	641
142	1581	630
143	1591	619
144	1601	607
145	1613	596
146	1623	585
147	1634	574
148	1646	563
149	1656	552
150	1667	541
151	1678	529
152	1687	518
153	1699	507
154	1710	496
155	1721	485
156	1732	474
157	1743	463
158	1753	452
159	1763	440
160	1773	429
161	1784	418
162	1796	407
163	1806	396
164	1817	385
165	1828	374
166	1838	363
167	1849	352
168	1859	341
169	1869	329
170	1880	318
171	1890	307
172	1900	296
173	1911	285
174	1921	274
175	1932	263
176	1942	252
177	1952	241
178	1962	230
179	1973	219
180	1983	208
181	1993	197
182	2004	186
183	2014	175
184	2025	164
185	2035	153
186	2046	142
187	2057	131
188	2067	120
189	2078	109
190	2089	98
191	2099	87
192	2110	76
193	2120	65
194	2131	54
195	2142	43
196	2153	32
197	2163	21
198	2174	10
199	2185	0
